name,specialtylabel
Malignant Neoplasm of the Pericardium,oncology
Malignant Pericardial Neoplasm,oncology
Malignant Pericardial Tumor,oncology
malignant pericardium neoplasm,oncology
malignant tumor of Pericardium,oncology
Malignant Tumor of the Pericardium,oncology
Pericardial tumor,oncology
neoplasm of penis,oncology
neoplasm of penis (disorder),oncology
penile benign neoplasm,oncology
penile neoplasms,oncology
Penile tumor,oncology
cancer of parametrium,oncology
malignant neoplasm of parametrium,oncology
malignant parametrium neoplasm,oncology
parametrium cancer,oncology
malignant neoplasm of anterior wall of urinary bladder,oncology
malignant neoplasm of anterior wall of urinary bladder (disorder),oncology
cancer of glans penis,oncology
malignant glans penis neoplasm,oncology
malignant neoplasm of glans penis,oncology
malignant tumor of glans penis,oncology
malignant tumor of glans penis (disorder),oncology
malignant tumour of glans penis,oncology
Neoplasm of the Ureter,oncology
neoplasm of ureter,oncology
neoplasm of ureter (disorder),oncology
Neoplasms of the Ureter,oncology
Neoplasms of Ureter,oncology
Tumor of the Ureter,oncology
Tumor of Ureter,oncology
Ureter Neoplasm,oncology
ureter neoplasm (disease),oncology
ureter tumor,oncology
Ureteral Neoplasm,oncology
ureteral tumor,oncology
cancer of lacrimal drainage system,oncology
lacrimal drainage system cancer,oncology
malignant lacrimal drainage system neoplasm,oncology
Malignant Lacrimal Duct Neoplasm,oncology
Malignant Lacrimal Duct Tumor,oncology
malignant neoplasm of lacrimal drainage system,oncology
malignant neoplasm of lacrimal duct,oncology
malignant neoplasm of lacrimal duct NOS (disorder),oncology
Malignant Neoplasm of the Lacrimal Duct,oncology
malignant tumor of lacrimal duct,oncology
Malignant Tumor of the Lacrimal Duct,oncology
febrile seizure,emergency medicine
retinal vein occlusion,ophthalmology
iris disease,ophthalmology
hepatic coma,gastroenterology
Hepatocerebral intoxication,gastroenterology
DYSCHONDROPLASIA,medical genetics
Enchondromatosis with haemangiomata,medical genetics
"ENCHONDROMATOSIS, MULTIPLE",medical genetics
Kast's syndrome,medical genetics
OSTEOCHONDROMATOSIS,medical genetics
flat head syndrome,medical genetics
Abrachie,medical genetics
ADPKD,medical genetics
autosomal dominant polycystic kidney disease,medical genetics
adult-onset PKD,medical genetics
autosomal dominant PKD,medical genetics
obsolete autosomal dominant polycystic kidney,medical genetics
"Polycystic kidney disease, adult type (disorder)",medical genetics
"Polycystic kidney, autosomal dominant",medical genetics
Coagulation factor 12 deficiency,medical genetics
Congenital Hageman factor deficiency,medical genetics
"deficiency, Hageman",medical genetics
F12 Deficiency,medical genetics
Factor 12 deficiency,medical genetics
Factor XII deficiency,medical genetics
FACTOR XII DEFICIENCY,medical genetics
Factor XII deficiency disease,medical genetics
Factor XII deficiency disease (disorder),medical genetics
Haf Deficiency,medical genetics
Hageman Factor deficiency,medical genetics
CCFDN,medical genetics
"Cataract, Congenital, With Facial Dysmorphism and Neuropathy",medical genetics
congenital cataracts-facial dysmorphism-neuropathy syndrome,medical genetics
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY",medical genetics
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN",medical genetics
Common ventricle,medical genetics
Double inlet left ventricle,medical genetics
TAPVR,medical genetics
total anomalous pulmonary venous return,medical genetics
DIASTEMATOMYELIA,medical genetics
SCM type 1,medical genetics
Split cord malformation type 1,medical genetics
BHD,medical genetics
Beukes Familial Hip Dysplasia,medical genetics
Beukes hip dysplasia,medical genetics
BEUKES HIP DYSPLASIA,medical genetics
BEUKES HIP DYSPLASIA; BHD,medical genetics
BFHD,medical genetics
Cilliers-Beighton syndrome,medical genetics
"Hip Dysplasia, Beukes Type",medical genetics
"Osteoarthropathy, Premature Degenerative, of Hip",medical genetics
Premature degenerative osteoarthropathy of the hip,medical genetics
FMD,medical genetics
FMD1,medical genetics
FRONTOMETAPHYSEAL DYSPLASIA 1; FMD1,medical genetics
cenesthopathic schizophrenia,psychiatry
overactive disorder associated with mental retardation and stereotyped movements,psychiatry
psychosomatic disease,psychiatry
language disorder,psychiatry
Shenkui,psychiatry
variant Creutzfeldt–Jakob disease,infectious diseases
strongyloidiasis,infectious diseases
clostridial necrotizing enteritis,infectious diseases
Focal infection of oral origin,oral and maxillofacial surgery
angiostrongyliasis,infectious diseases
furunculosis,infectious diseases
anthropozoonosis,infectious diseases
distomatosis,infectious diseases
Coagulation factor 12 deficiency,hematology
Congenital Hageman factor deficiency,hematology
"deficiency, Hageman",hematology
F12 Deficiency,hematology
Factor 12 deficiency,hematology
Factor XII deficiency,hematology
FACTOR XII DEFICIENCY,hematology
Factor XII deficiency disease,hematology
Factor XII deficiency disease (disorder),hematology
Haf Deficiency,hematology
Hageman Factor deficiency,hematology
Mesenteric adenitis,hematology
mesenteric adenitis,hematology
mesenteric lymphadenitis,hematology
Mesenteric lymphadenitis,hematology
Mesenteric lymphadenitis (disorder),hematology
mesentery lymphadenitis (disease),hematology
Ureteric calculus,urology
calculus of ureter,urology
Ureteric stone,urology
Ureteric Stone,urology
Ureteric stone (disorder),urology
Ureterolithiasis (disorder),urology
hypertrophic elongation of cervix (disorder),urology
hypertrophic elongation of cervix (disorder) [Ambiguous],urology
atrophic prostate,urology
Atrophy of prostate (disorder),urology
prostate atrophy,urology
Interstitial Cell Neoplasm,urology
Interstitial Cell Tumor,urology
Leydig cell neoplasm,urology
Leydig Cell Tumor,urology
"LEYDIG CELL TUMOR, UNDETERMINED",urology
piles,general surgery
Hemorrhoids,general surgery
Diffuse fasciitis with eosinophilia,rheumatology
EOSINOPHILIC FASCIITIS,rheumatology
Shulman syndrome,rheumatology
crural neuralgia,rheumatology
cruralgia,rheumatology
Eosinophilic fasciitis,rheumatology
posterior tibial tendon dysfunction,rheumatology
brachymetatarsia,rheumatology
cervical osteoarthritis,rheumatology
femoral neuralgia,rheumatology
displacement of cardia through esophageal hiatus,medical genetics
Congenital hiatus hernia,medical genetics
Congenital hiatus hernia (disorder),medical genetics
Inflammatory spondylopathies in disease classified elsewhere,rheumatology
Inflammatory spondylopathies in disease EC,rheumatology
Inflammatory spondylopathies in disease EC (disorder),rheumatology
Inflammatory spondylopathy in disease classified elsewhere,rheumatology
adenomyoepithelioma of the breast,pathology
Collagenous spherulosis,pathology
Adenomyoepithelioma,pathology
mucinous spherulosis,pathology
AIDS-related complex,immunology
AIDS-related lymphoma,immunology
CNS demyelinating autoimmune diseases,immunology
Raynaud syndrome,immunology
varicose veins,vascular surgery
Conradi–Hünermann syndrome,medical genetics
univentricular heart,medical genetics
total anomalous pulmonary venous connection,medical genetics
Diastematomyelia,medical genetics
"hip dysplasia, Beukes type",medical genetics
frontometaphyseal dysplasia,medical genetics
ectopic testis,medical genetics
persistent truncus arteriosus,medical genetics
pulmonary sarcoidosis,pulmonology
spontaneous tension pneumothorax,pulmonology
acute maxillary sinusitis,pulmonology
testicular ectopia,medical genetics
TAC,medical genetics
PTA,medical genetics
Persistent Truncus Arteriosus,medical genetics
Common aorticopulmonary trunk,medical genetics
common arterial trunk,medical genetics
common truncus,medical genetics
common truncus arteriosus,medical genetics
truncus arteriosus,medical genetics
algoneurodystrophy,rheumatology
jaw cancer,rheumatology
skull cancer,rheumatology
cancer of jaw skeleton,oral and maxillofacial surgery
jaw skeleton cancer,oral and maxillofacial surgery
malignant jaw skeleton neoplasm,oral and maxillofacial surgery
malignant neoplasm of jaw skeleton,oral and maxillofacial surgery
Periodontal abscess,dentistry
tinea unguium,dermatology
facial dermatosis,dermatology
jaw cancer,oral and maxillofacial surgery
lip cancer,oncology
cementoma,oncology
AIDS-related lymphoma,oncology
acinar cell carcinoma,oncology
acute basophilic leukemia,oncology
Acute eosinophilic leukemia,oncology
acute myelomonocytic leukemia,oncology
adenomyoepithelioma of the breast,oncology
Adnexal and skin appendage neoplasms,oncology
natural killer cell leukemia,oncology
"extranodal NK/T-cell lymphoma, nasal type",oncology
angioimmunoblastic T-cell lymphoma,oncology
fallopian tube cancer,oncology
Bellini duct carcinoma,oncology
calcifying odontogenic cyst,oncology
squamous cell thyroid carcinoma,oncology
Chronic phase chronic myelogenous leukemia,oncology
perinephritis,obstetrics and gynaecology
brain compression,neurology
Hashimoto's encephalopathy,neurology
acute motor axonal neuropathy,neurology
Avellis syndrome,neurology
Bellini duct carcinoma,obstetrics and gynaecology
Bruns apraxia,neurology
CNS demyelinating autoimmune diseases,neurology
carbamoyl phosphate synthetase I deficiency disease,neurology
cerebrospinal fluid leak,neurology
chemical eye injury,neurology
chronic traumatic encephalopathy,neurology
acute kidney tubular necrosis,nephrology
nephrogenic diabetes insipidus,nephrology
acute renal failure with lesion of tubular necrosis,nephrology
acute renal Failure with tubular necrosis,nephrology
acute tubular necrosis,nephrology
acute tubule necrosis,nephrology
ATN - acute tubular necrosis,nephrology
Congenital nephrogenic diabetes insipidus,nephrology
"Diabetes Insipidus, Nephrogenic",nephrology
vasopressin-resistant diabetes insipidus,nephrology
upper respiratory infection,pulmonology
walking pneumonia,pulmonology
Bullous lung emphysema,pulmonology
variant Creutzfeldt-Jakob disease,infectious diseases
variant Creutzfeldt–Jakob,infectious diseases
vCJD,infectious diseases
Anguilluliasis,infectious diseases
Anguillulosis,infectious diseases
disseminated strongyloidiasis,infectious diseases
Infection by Strongyloides,infectious diseases
Infection by Strongyloides (disorder),infectious diseases
Enteritis necroticans,infectious diseases
Clostridium perfringens food poisoning,infectious diseases
Clostridium perfringens gastroenteritis,infectious diseases
Food poisoning due to C. welchii,infectious diseases
food poisoning due to clostridium perfringens,infectious diseases
Food poisoning due to Clostridium perfringens (disorder),infectious diseases
Food poisoning due to Clostridium perfringens [C. welchii],infectious diseases
pigbel,infectious diseases
dental focal infection,oral and maxillofacial surgery
dental focal infections,oral and maxillofacial surgery
Angiostrongylus cantonensis infectious disease,infectious diseases
obsolete Angiostrongylus cantonensis infectious disease,infectious diseases
Distomiasis,infectious diseases
Fluke infection,infectious diseases
Trematoda infectious disease,infectious diseases
trematode infection,infectious diseases
Trematode infestation,infectious diseases
trematodiases,infectious diseases
Trematodiases,infectious diseases
trematode infections,infectious diseases
zygomycoses,infectious diseases
paranephritis,obstetrics and gynaecology
Perinephritis,obstetrics and gynaecology
Perinephritis (disorder),obstetrics and gynaecology
perirenal fat inflammation,obstetrics and gynaecology
perirenal fatitis,obstetrics and gynaecology
Compression of brain,neurology
Compression of brain (disorder),neurology
Compression of brain NOS (disorder),neurology
Hashimoto encephalitis,neurology
SREAT,neurology
steroid responsive encephalopathy associated with autoimmune thyroiditis,neurology
steroid-responsive encephalopathy associated with thyroid disease,neurology
Acute pure motor GBS,neurology
Acute pure motor Guillain-BarrC) syndrome,neurology
Acute pure motor Guillain-Barré syndrome,neurology
AMAN,neurology
laryngeal hemiplegia,neurology
carcinoma of renal Collecting duct,obstetrics and gynaecology
collecting duct carcinoma,obstetrics and gynaecology
Collecting duct carcinoma,obstetrics and gynaecology
"renal carcinoma, collecting duct type",obstetrics and gynaecology
renal Medullary carcinoma,obstetrics and gynaecology
Bruns ataxia,neurology
frontal ataxia,neurology
CNS demyelinating autoimmune disease,neurology
"Demyelinating Autoimmune Diseases, CNS",neurology
obsolete CNS demyelinating autoimmune disease,neurology
Carbamoyl Phosphate Synthetase 1 Deficiency,neurology
Carbamoyl Phosphate Synthetase Deficiency,neurology
"CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO",neurology
Carbamoyl-Phosphate Synthase,neurology
Carbamoyl-phosphate synthetase 1 deficiency,neurology
Carbamoyl-phosphate synthetase deficiency,neurology
Carbamoyl-phosphate synthetase I deficiency,neurology
Cps 1 Deficiency,neurology
CPS I deficiency,neurology
CPS1 deficiency,neurology
CPS1D,neurology
Deficiency Disease,neurology
Cerebrospinal Fluid Drainage,neurology
Cerebrospinal fluid leakage,neurology
CSF leak,neurology
CSF fistula,neurology
corneal burn,neurology
CTE,neurology
gonococcal spondylitis,infectious diseases
gastrointestinal anthrax,infectious diseases
gonococcal synovitis,infectious diseases
neuroschistosomiasis,infectious diseases
inclusion conjunctivitis,infectious diseases
urinary schistosomiasis,infectious diseases
acute gonococcal prostatitis,infectious diseases
American histoplasmosis,infectious diseases
West Nile encephalitis,infectious diseases
Gonococcal spondylitis,infectious diseases
Gonococcal spondylitis (disorder),infectious diseases
Gonococcal synovitis &/or tenosynovitis,infectious diseases
Gonococcal synovitis and tenosynovitis,infectious diseases
Gonococcal synovitis or tenosynovitis,infectious diseases
Gonococcal synovitis or tenosynovitis (disorder),infectious diseases
adult inclusion conjunctivitis,infectious diseases
Chlamydial conjunctivitis,infectious diseases
Inclusion blennorrhoea,infectious diseases
inclusion blenorrhea,infectious diseases
Neonatal Chlamydia Conjunctivitis,infectious diseases
Paratrachoma,infectious diseases
Schistosoma haematobium,infectious diseases
Vesical schistosomiasis,infectious diseases
bladder Schistosomiasis,infectious diseases
cystitis with bilharziasis,infectious diseases
cystitis with bilharziasis (disorder),infectious diseases
Schistosoma haematobium (& vesical schistosomiasis),infectious diseases
Schistosoma haematobium infection,infectious diseases
Schistosoma Hematobium Infection,infectious diseases
Schistosoma hematobium infection (disorder),infectious diseases
Schistosoma hematobium infectious disease,infectious diseases
Schistosomiasis due to schistosoma haematobium,infectious diseases
Schistosomiasis haematobia,infectious diseases
Schistosomiasis of bladder,infectious diseases
Schistosomiasis of bladder [Ambiguous],infectious diseases
urinary bladder schistosomiasis,infectious diseases
urinary schistosomiasis (disorder),infectious diseases
Vesical schistosomiasis NOS,infectious diseases
acute gonococcal prostatitis (disorder),infectious diseases
Gonococcal prostatitis,infectious diseases
Gonococcal prostatitis (acute),infectious diseases
"gonococcal prostatitis, acute",infectious diseases
Darling's disease,infectious diseases
American histoplasmosis,infectious diseases
classical histoplasmosis,infectious diseases
infection by histoplasma capsulatum,infectious diseases
infection caused by histoplasma capsulatum,infectious diseases
small form histoplasmosis,infectious diseases
WNND,infectious diseases
WNNS,infectious diseases
West Nile fever encephalitis,infectious diseases
West Nile Fever with encephalitis,infectious diseases
West nile neuroinvasive disease,infectious diseases
West Nile virus neurological syndrome,infectious diseases
fluoride poisoning,emergency medicine
cenesthesiopathic schizophrenia,psychiatry
coenesthopathic schizophrenia,psychiatry
coenestopathic schizophrenia,psychiatry
oeractive disorder associated with intellectual disabilities and stereotyped movements,psychiatry
psychosomatic disorder,psychiatry
psychophysiologic disorder,psychiatry
disorganized speech,psychiatry
perinephritis,urology
Bellini duct carcinoma,urology
cervical polyp,urology
catatonic type schizophrenia,psychiatry
obsolete catatonic schizophrenia,psychiatry
"schizophrenia, catatonic type",psychiatry
Fregoli syndrome,psychiatry
Fregoli's syndrome,psychiatry
paranephritis,urology
Perinephritis,urology
Perinephritis (disorder),urology
perirenal fat inflammation,urology
perirenal fatitis,urology
carcinoma of renal Collecting duct,urology
collecting duct carcinoma,urology
Collecting duct carcinoma,urology
"renal carcinoma, collecting duct type",urology
renal Medullary carcinoma,urology
Adenomatous Polyp of Cervix,urology
Adenomatous Polyp of the Cervix,urology
Adenomatous Polyp of the Uterine Cervix,urology
Adenomatous Polyp of Uterine Cervix,urology
Cervical Polyp,urology
Cervix Adenomatous Polyp,urology
Cervix Polyp,urology
Cervix Uteri Adenomatous Polyp,urology
Cervix Uteri Polyp,urology
Polyp of Cervix,urology
Polyp of Cervix Uteri,urology
Polyp of the Cervix,urology
Polyp of the Cervix Uteri,urology
Polyp of the Uterine Cervix,urology
Polyp of Uterine Cervix,urology
Uterine Cervix Adenomatous Polyp,urology
uterine cervix polyp,urology
distomatosis,helminthology
catatonic schizophrenia,psychiatry
Fregoli delusion,psychiatry
trichophagia,psychiatry
Onychotillomania,psychiatry
cancer of lip,oncology
malignant lip neoplasm,oncology
Malignant Lip Tumor,oncology
malignant neoplasm of commissure of lip,oncology
"malignant neoplasm of external Lip, not specified as upper or lower",oncology
malignant neoplasm of labial commissure of lip,oncology
malignant neoplasm of lip,oncology
"malignant neoplasm of lip unspecified, inner aspect (disorder)",oncology
"malignant neoplasm of lip, external",oncology
"malignant neoplasm of lip, inner aspect",oncology
"malignant neoplasm of lip, inner aspect NOS (disorder)",oncology
"malignant neoplasm of lip, unspecified",oncology
"malignant neoplasm of lip, unspecified (disorder)",oncology
"malignant neoplasm of lip, unspecified, external (disorder)",oncology
"malignant neoplasm of lip, unspecified, inner aspect",oncology
"malignant neoplasm of lip, unspecified, vermilion border",oncology
"malignant neoplasm of lip, vermilion border",oncology
"malignant neoplasm of lip, vermilion border NOS (disorder)",oncology
"malignant neoplasm of lower lip, buccal aspect",oncology
"malignant neoplasm of lower lip, buccal aspect (disorder)",oncology
"malignant neoplasm of lower lip, inner aspect",oncology
"malignant neoplasm of lower lip, inner aspect NOS (disorder)",oncology
"malignant neoplasm of lower lip, mucosa",oncology
"malignant neoplasm of lower lip, mucosa (disorder)",oncology
"malignant neoplasm of lower lip, oral aspect",oncology
"malignant neoplasm of oral aspect of lip, not specified whether upper or lower",oncology
malignant neoplasm of other sites of lip,oncology
malignant neoplasm of other sites of lip (disorder),oncology
Malignant Neoplasm of the Lip,oncology
malignant neoplasm of vermilion border of lip,oncology
malignant neoplasm of vermilion border of lip unspecified (disorder),oncology
malignant tumor of commissure of lip,oncology
malignant tumor of commissure of lip (disorder),oncology
malignant tumor of labial mucosa,oncology
malignant tumor of labial mucosa (disorder),oncology
malignant tumor of lip,oncology
malignant tumor of lip (disorder),oncology
malignant tumor of lower labial mucosa,oncology
malignant tumor of lower labial mucosa (disorder),oncology
malignant tumor of the Lip,oncology
malignant tumour of labial commissure,oncology
malignant tumour of lip,oncology
Acinar Adenocarcinoma,oncology
Acinar Carcinoma,oncology
Acinar Cell Adenocarcinoma,oncology
Acinar Cell Carcinoma,oncology
acinar cell carcinoma (morphologic abnormality),oncology
Acinic Cell Adenocarcinoma,oncology
acinic cell carcinoma,oncology
carcinoma of acinar cell,oncology
"CARCINOMA, ACINAR CELL, MALIGNANT",oncology
acute basophilic leukemia,oncology
Basophilic Leukemia,oncology
Leukemia Basophilic,oncology
Acute M4 Myeloid Leukemia,oncology
Acute myeloblastic leukemia type 4,oncology
Acute Myelomonocytic Leukemia,oncology
Acute Myelomonocytic Leukemia (FAB Type M4),oncology
AML M4,oncology
AML-M4,oncology
AMML,oncology
AMMoL,oncology
Adenomyoepithelioma,oncology
Adnexal and skin appendage neoplasm (morphologic abnormality),oncology
Adnexal and skin appendage neoplasm NOS (morphologic abnormality),oncology
Adnexal and skin appendage tumor (qualifier value),oncology
skin appendage neoplasm,oncology
Aggressive natural killer cell leukemia,oncology
Aggressive NK cell leukemia,oncology
Aggressive NK-cell leukemia,oncology
Aggressive NK-cell leukemia (morphologic abnormality),oncology
Aggressive NK-Cell Leukemia/Lymphoma,oncology
Aggressive NK-cell lymphoma,oncology
ANKCL,oncology
ANKL,oncology
"large granular Lymphocyte Leukemia, NK-cell type",oncology
Natural Killer Cell Leukemia,oncology
natural killer cell leukemia (disease),oncology
NK Cell Leukemia,oncology
NK-cell large granular lymphocyte leukemia,oncology
NK-Cell Leukemia,oncology
NK-cell LGL leukemia,oncology
Lethal midline granuloma,oncology
angiocentric lymphoma,oncology
Angiocentric T-cell lymphoma,oncology
Extranodal NK/T lymphoma-nasal,oncology
"Extranodal NK/T-Cell Lymphoma, Nasal Type",oncology
"Lymphoma, Extranodal NK-T-Cell",oncology
Nasal T/natural killer-cell lymphoma,oncology
nasal type extranodal NK/T-cell lymphoma,oncology
NK/T-cell lymphoma,oncology
NKTCL,oncology
"RETICULOSIS, MALIGNANT",oncology
strongyloidiasis,helminthologist
obstetrical hemorrhage,obstetrics
Hereditary persistence of fetal hemoglobin,hematology
Latrodectism,emergency medicine
health effects of caffeine,emergency medicine
fluoride toxicity,emergency medicine
Substernal goiter,endocrinology
Retrosternal thyroid goiter,endocrinology
Substernal goiter (disorder),endocrinology
Ovarian Failure,endocrinology
Ovarian Hypofunction,endocrinology
Ovarian Insufficiency,endocrinology
Post-surgical hypoinsulinemia (disorder),endocrinology
Postsurgical hypoinsulinemia,endocrinology
Postsurgical hypoinsulinemia (disorder),endocrinology
disorder of phosphorus metabolism,endocrinology
disorder of phosphorus metabolism (disorder),endocrinology
disorder of phosphorus metabolism NOS (disorder),endocrinology
Phosphorus disorder,endocrinology
Phosphorus Metabolic Disorder,endocrinology
phosphorus metabolism disorder,endocrinology
Interstitial Cell Neoplasm,endocrinology
Interstitial Cell Tumor,endocrinology
Leydig cell neoplasm,endocrinology
Leydig Cell Tumor,endocrinology
"LEYDIG CELL TUMOR, UNDETERMINED",endocrinology
lung sarcoidosis,pulmonology
spontaneous tension pneumothorax (disorder),pulmonology
spontaneous tension pneumothorax (disorder) [Ambiguous],pulmonology
acute antritis,pulmonology
"maxillary sinusitis, acute",pulmonology
Aortoiliac occlusive disease,cardiology
arteriosclerotic heart disease,cardiology
atrial flutter,cardiology
cardiomegaly,cardiology
deep vein thrombosis,cardiology
recurrent erosion of cornea,ophthalmology
recurrent erosion syndrome,ophthalmology
eye damage,ophthalmology
eye injuries,ophthalmology
Ramsay Hunt syndrome,neurology
Idiopathic Hypersomnia,neurology
Kjer's optic neuropathy,neurology
Neuropsychiatric systemic lupus erythematosus,cardiology
venous thromboembolism,cardiology
renal hypertension,cardiology
trichophagia,psychology
Vater,internal medicine
lattice corneal dystrophy,ophthalmology
anopsia,ophthalmology
birdshot chorioretinopathy,ophthalmology
chronic gonococcal salpingitis,infectious diseases
inflammatory spondylopathy,rheumatology
Loeffler endocarditis,cardiology
arteriolosclerosis,cardiology
blue toe syndrome,cardiology
pulmonary sarcoidosis,angiology
Anguilluliasis,helminthologist
Anguillulosis,helminthologist
disseminated strongyloidiasis,helminthologist
Infection by Strongyloides,helminthologist
Infection by Strongyloides (disorder),helminthologist
Leriche syndrome,cardiology
Leriche's syndrome,cardiology
ASHD,cardiology
Coronary Arteriosclerosis,cardiology
ischemic heart disease,cardiology
atherosclerotic cardiovascular disease,cardiology
ASCVD,cardiology
atrial flutter,cardiology
enlarged heart,cardiology
DVT,cardiology
deep venous thrombosis,cardiology
HAT,hematology
HIT,hematology
Heparin-induced thrombocytopenia,hematology
Heparin-associated thrombocytopenia,hematology
Heparin-induced thrombocytopenia type 2,hematology
Neuropsychiatric systemic lupus erythematosus,immunology
Albarran-Ormond syndrome,urology
Idiopathic retroperitoneal fibrosis,urology
IgG4-related disease,urology
IgG4-related retroperitoneal fibrosis,urology
IgG4-related systemic disease,urology
Ormond disease,urology
Ormond's disease,urology
Sclerosing retroperitoneal granuloma,urology
nephroptosis,urology
Spermaturia,urology
retroperitoneal fibrosis,urology
NPSLE,immunology
focal nodular hyperplasia,gastroenterology
hydrops of gallbladder,gastroenterology
Biliary sludge,gastroenterology
hemoperitoneum,gastroenterology
Mallory–Weiss syndrome,gastroenterology
Gardner's syndrome,gastroenterology
Tinea unguium,dermatology
cellulitis and abscess,dermatology
cellulitis and abscess of buttock,dermatology
cellulitis and abscess of face,dermatology
cellulitis and abscess of finger,dermatology
cellulitis and abscess of finger and toe,dermatology
cellulitis and abscess of gluteal region,dermatology
cellulitis and abscess of trunk,dermatology
cellulitis and abscess of upper arm and forearm,dermatology
Dermatophytic onychia,dermatology
dermatophytic onychomycosis,dermatology
Dermatophytosis of nail,dermatology
Onychomycosis due to dermatophyte,dermatology
facial dermatoses,dermatology
cervicitis,gynaecology
abnormal uterine bleeding,gynaecology
Cervicitis,gynaecology
cervicitis,gynaecology
cervicitis and endocervicitis,gynaecology
Uterine hemorrhage,gynaecology
dysfunctional uterine bleeding,gynaecology
reflex sympathetic dystrophy,rheumatology
Sudeck's atrophy,rheumatology
Algoneurodystrophy,rheumatology
Algoneurodystrophy (disorder),rheumatology
Algoneurodystrophy NOS (disorder),rheumatology
complex regional pain syndrome type 1,rheumatology
cancer of jaw skeleton,rheumatology
jaw skeleton cancer,rheumatology
malignant jaw skeleton neoplasm,rheumatology
malignant neoplasm of jaw skeleton,rheumatology
cancer of skull,rheumatology
malignant neoplasm of skull,rheumatology
malignant skull neoplasm,rheumatology
lung sarcoidosis,angiology
Distomiasis,helminthology
Fluke infection,helminthology
Trematoda infectious disease,helminthology
trematode infection,helminthology
Trematode infestation,helminthology
trematodiases,helminthology
Trematodiases,helminthology
trematode infections,helminthology
Jansky-Bielschowsky disease,endocrinology
Late infantile NCL,endocrinology
late infantile neuronal ceroid lipofuscinosis,endocrinology
LINCL,endocrinology
Systemic amyloidosis,endocrinology
Primary amyloidosis,endocrinology
immunoglobulin light-chain amyloidosis,endocrinology
Light-chain amyloidosis,endocrinology
PHP1A,endocrinology
AHO-PHP syndrome Ia,endocrinology
Albright hereditary osteodystrophy,endocrinology
Albright Hereditary Osteodystrophy With Multiple Hormone Resistance,endocrinology
Albright hereditary osteodystrophy-PHP syndrome Ia,endocrinology
Php 1A,endocrinology
pseudohypoparathyroidism type 1a,endocrinology
"PSEUDOHYPOPARATHYROIDISM, TYPE IA",endocrinology
"PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A",endocrinology
pseudohypoparathyroidism 1a,endocrinology
pseudohypoparathyroidism Ia,endocrinology
GSD12,endocrinology
Aldoa Deficiency,endocrinology
Aldolase a Deficiency,endocrinology
"Aldolase Deficiency, Red Cell",endocrinology
Glycogen Storage Disease type 12,endocrinology
Glycogen storage disease type XII,endocrinology
GLYCOGEN STORAGE DISEASE XII,endocrinology
GLYCOGEN STORAGE DISEASE XII; GSD12,endocrinology
Glycogenosis due to aldolase A deficiency,endocrinology
Glycogenosis type 12,endocrinology
Glycogenosis type XII,endocrinology
Gsd 12,endocrinology
GSD due to aldolase A deficiency,endocrinology
GSD type 12,endocrinology
GSD type XII,endocrinology
Red Cell Aldolase Deficiency,endocrinology
Carbamoyl Phosphate Synthetase 1 Deficiency,endocrinology
Carbamoyl Phosphate Synthetase Deficiency,endocrinology
"CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO",endocrinology
Carbamoyl-Phosphate Synthase,endocrinology
Carbamoyl-phosphate synthetase 1 deficiency,endocrinology
Carbamoyl-phosphate synthetase deficiency,endocrinology
Carbamoyl-phosphate synthetase I deficiency,endocrinology
Cps 1 Deficiency,endocrinology
CPS I deficiency,endocrinology
CPS1 deficiency,endocrinology
CPS1D,endocrinology
Deficiency Disease,endocrinology
osteoid osteoma,oncology
Gardner's syndrome,oncology
sacrococcygeal teratoma,oncology
lipoblastoma,oncology
vitreous hemorrhage,ophthalmology
Acne miliaris necrotica,dermatology
Alternariosis,dermatology
Autosensitization dermatitis,dermatology
pylorospasm,gastroenterology
Helicobacter pylori infectious disease,gastroenterology
aggressive periodontitis,gastroenterology
Pylorospasm (disorder),gastroenterology
Helicobacter pylori,gastroenterology
Helicobacter pylori infection,gastroenterology
Helicobacter Pylori Infection,gastroenterology
obsolete Helicobacter pylori infectious disease,gastroenterology
Prepubertal periodontitis,gastroenterology
Aggressive periodontitis,gastroenterology
juvenile periodontitis,gastroenterology
acquired immune deficiency syndrome (& [ARC]),immunology
AIDS related complex,immunology
AIDS-like syndrome,immunology
obsolete AIDS related complex,immunology
CNS demyelinating autoimmune disease,immunology
"Demyelinating Autoimmune Diseases, CNS",immunology
obsolete CNS demyelinating autoimmune disease,immunology
Raynaud's disease,immunology
Raynaud's syndrome,immunology
Raynaud's phenomenon,immunology
Raynauds phenomenon,immunology
Angioimmunoblastic T-cell lymphoma,oncology
fallopian tube neoplasm,oncology
fallopian tube cancer,oncology
fallopian tube neoplasm (disease),oncology
Fallopian Tube Tumor,oncology
malignant neoplasm of uterine tube,oncology
malignant tumor of fallopian tube,oncology
malignant tumor of fallopian tube (disorder),oncology
malignant tumour of fallopian tube,oncology
neoplasm of fallopian tube,oncology
