Title;EID;DOI;DocumentType;Year;Disease;Category
MRI-based radiomics for prognosis of pediatric diffuse intrinsic pontine glioma: An international study;2-s2.0-85119104101;10.1093/noajnl/vdab042;Article;2021;brain tumors;neurosurgery
MRI-based radiomics for prognosis of pediatric diffuse intrinsic pontine glioma: An international study;2-s2.0-85119104101;10.1093/noajnl/vdab042;Article;2021;brain tumor;neurosurgery
A deep bidirectional recurrent neural network for identification of SARS-CoV-2 from viral genome sequences;2-s2.0-85117921115;10.3934/mbe.2021440;Article;2021;respiratory infection;infectious diseases
Towards a computer aided diagnosis (CAD) for brain MRI glioblastomas tumor exploration based on a deep convolutional neuronal networks (D-CNN) architectures;2-s2.0-85090305156;10.1007/s11042-020-09786-6;Article;2021;brain tumor;neurosurgery
EpiPanGI Dx: A Cell-free DNA Methylation fingerprint for the early detection of Gastrointestinal cancers;2-s2.0-85119931744;10.1158/1078-0432.CCR-21-1982;Article;2021;adenocarcinoma;oncology
EpiPanGI Dx: A Cell-free DNA Methylation fingerprint for the early detection of Gastrointestinal cancers;2-s2.0-85119931744;10.1158/1078-0432.CCR-21-1982;Article;2021;carcinoma;oncology
EpiPanGI Dx: A Cell-free DNA Methylation fingerprint for the early detection of Gastrointestinal cancers;2-s2.0-85119931744;10.1158/1078-0432.CCR-21-1982;Article;2021;pancreatic ductal adenocarcinoma;oncology
Epileptic seizures identification with autoregressive model and firefly optimization based classification;2-s2.0-85077037177;10.1007/s12530-019-09319-z;Article;2021;epileptic seizure;epileptology
Epileptic seizures identification with autoregressive model and firefly optimization based classification;2-s2.0-85077037177;10.1007/s12530-019-09319-z;Article;2021;seizure;epileptology
Thyroid cancer computer-aided diagnosis system using mri-based multi-input CNN model;2-s2.0-85107231765;10.1109/ISBI48211.2021.9433841;Conference Paper;2021;thyroid nodule;endocrinology
Thyroid cancer computer-aided diagnosis system using mri-based multi-input CNN model;2-s2.0-85107231765;10.1109/ISBI48211.2021.9433841;Conference Paper;2021;Thyroid nodule;endocrinology
A digital pathology solution to resolve the tissue floater conundrum;2-s2.0-85102182665;10.5858/arpa.2020-0034-OA;Article;2021;floater;ophthalmology
A digital pathology solution to resolve the tissue floater conundrum;2-s2.0-85102182665;10.5858/arpa.2020-0034-OA;Article;2021;floaters;ophthalmology
A High-Precision Machine Learning Algorithm to Classify Left and Right Outflow Tract Ventricular Tachycardia;2-s2.0-85102449207;10.3389/fphys.2021.641066;Article;2021;ventricular tachycardia;cardiology
Interactive classification of whole-slide imaging data for cancer researchers;2-s2.0-85102199442;10.1158/0008-5472.CAN-20-0668;Article;2021;carcinoma;oncology
Multirate processing with selective subbands and machine learning for efficient arrhythmia classificationâ€ ;2-s2.0-85101176437;10.3390/s21041511;Article;2021;cardiac arrhythmia;rhythmology
Multirate processing with selective subbands and machine learning for efficient arrhythmia classificationâ€ ;2-s2.0-85101176437;10.3390/s21041511;Article;2021;Arrhythmia;rhythmology
Multirate processing with selective subbands and machine learning for efficient arrhythmia classificationâ€ ;2-s2.0-85101176437;10.3390/s21041511;Article;2021;arrhythmia;rhythmology
Multirate processing with selective subbands and machine learning for efficient arrhythmia classificationâ€ ;2-s2.0-85101176437;10.3390/s21041511;Article;2021;CARDIAC ARRHYTHMIA;rhythmology
Gaussian smoothing and modified histogram normalization methods to improve neural-biomarker interpretations for dyslexia classification mechanism;2-s2.0-85102096769;10.1371/journal.pone.0245579;Article;2021;dyslexia;pediatrics
Brain graph synthesis by dual adversarial domain alignment and target graph prediction from a source graph;2-s2.0-85097735772;10.1016/j.media.2020.101902;Article;2021;fracture;osteology
Brain graph synthesis by dual adversarial domain alignment and target graph prediction from a source graph;2-s2.0-85097735772;10.1016/j.media.2020.101902;Article;2021;neurological disorder;neurology
Brain graph synthesis by dual adversarial domain alignment and target graph prediction from a source graph;2-s2.0-85097735772;10.1016/j.media.2020.101902;Article;2021;collapse;cardiology
Improving Heart Disease Prediction Using Random Forest and AdaBoost Algorithms;2-s2.0-85120072988;10.3991/ijoe.v17i11.24781;Article;2021;heart disease;cardiology
An ensemble of optimal deep learning features for brain tumor classification;2-s2.0-85110513271;10.32604/cmc.2021.018606;Article;2021;brain tumors;neurosurgery
An ensemble of optimal deep learning features for brain tumor classification;2-s2.0-85110513271;10.32604/cmc.2021.018606;Article;2021;brain tumor;neurosurgery
Automated Brain Imaging Diagnosis and Classification Model using Rat Swarm Optimization with Deep Learning based Capsule Network;2-s2.0-85110292625;10.1142/S0219467822400010;Article;2021;brain tumor;neurosurgery
Structural dynamics and allostery of Rab proteins: Strategies for drug discovery and design;2-s2.0-85098664554;10.1093/bib/bbz161;Review;2021;neurological disorder;neurology
Automatic cough classification for tuberculosis screening in a real-world environment;2-s2.0-85122440143;10.1088/1361-6579/ac2fb8;Article;2021;Pulmonary TB;infectious diseases
Brain multigraph prediction using topology-aware adversarial graph neural network;2-s2.0-85106344275;10.1016/j.media.2021.102090;Article;2021;collapse;cardiology
Identification of Microbiota Biomarkers With Orthologous Gene Annotation for Type 2 Diabetes;2-s2.0-85111166570;10.3389/fmicb.2021.711244;Article;2021;metabolic disease;endocrinology
Identification of Microbiota Biomarkers With Orthologous Gene Annotation for Type 2 Diabetes;2-s2.0-85111166570;10.3389/fmicb.2021.711244;Article;2021;metabolic diseases;endocrinology
Voice-Based Deep Learning Medical Diagnosis System for Parkinson's Disease Prediction;2-s2.0-85112355457;10.1109/ICOTEN52080.2021.9493456;Conference Paper;2021;neurological disease;neurology
Plasma Metabolomics Reveals Dysregulated Metabolic Signatures in HIV-Associated Immune Reconstitution Inflammatory Syndrome;2-s2.0-85109048925;10.3389/fimmu.2021.693074;Article;2021;opportunistic infection;infectious diseases
Correlation Analysis for Determining Effective Data in Machine Learning: Detection of Heart Failure;2-s2.0-85120619484;10.1007/s42979-021-00617-5;Article;2021;heart disease;cardiology
A novel Machine Learning approach for epilepsy diagnosis using EEG signals based on Correlation Dimension;2-s2.0-85120867505;10.1016/j.ifacol.2021.11.018;Conference Paper;2021;seizure;epileptology
Evolutionary Optimization of Convolutional Neural Network Architecture Design for Thoracic X-Ray Image Classification;2-s2.0-85112714258;10.1007/978-3-030-79457-6_11;Conference Paper;2021;septic shock;infectious diseases
Prediction of clinical outcomes in women with placenta accreta spectrum using machine learning models: an international multicenter study;2-s2.0-85111741739;10.1080/14767058.2021.1918670;Article;2021;coagulopathy;hematology
Real-Time System Prediction for Heart Rate Using Deep Learning and Stream Processing Platforms;2-s2.0-85102234376;10.1155/2021/5535734;Article;2021;heart disease;cardiology
Evaluating warfarin dosing models on multiple datasets with a novel software framework and evolutionary optimisation;2-s2.0-85097763055;10.1016/j.jbi.2020.103634;Article;2021;venous thromboembolism;cardiology
Evaluating warfarin dosing models on multiple datasets with a novel software framework and evolutionary optimisation;2-s2.0-85097763055;10.1016/j.jbi.2020.103634;Article;2021;Venous Thromboembolism;cardiology
Gastrointestinal disease classification in endoscopic images using attention-guided convolutional neural networks;2-s2.0-85119961669;10.3390/app112311136;Article;2021;gastrointestinal disease;gastroenterology
Forecasting influenza-like illness trends in Cameroon using Google Search Data;2-s2.0-85103356584;10.1038/s41598-021-85987-9;Article;2021;respiratory infection;infectious diseases
Forecasting influenza-like illness trends in Cameroon using Google Search Data;2-s2.0-85103356584;10.1038/s41598-021-85987-9;Article;2021;respiratory infections;infectious diseases
Subphenotyping of Patients With Aortic Stenosis by Unsupervised Agglomerative Clustering of Echocardiographic and Hemodynamic Data;2-s2.0-85115621561;10.1016/j.jcin.2021.08.034;Article;2021;hypertension;family medicine
Towards Application of Machine Learning in Classification and Prediction of Heart Disease;2-s2.0-85116696390;10.1109/ICESC51422.2021.9532940;Conference Paper;2021;heart disease;cardiology
3PCNNB-Net: Three Parallel CNN Branches for Breast Cancer Classification Through Histopathological Images;2-s2.0-85107949180;10.1007/s40846-021-00620-4;Article;2021;breast tumor;dermatology
A comprehensive computer-assisted diagnosis system for early assessment of renal cancer tumors;2-s2.0-85110516927;10.3390/s21144928;Article;2021;carcinoma;oncology
A comprehensive computer-assisted diagnosis system for early assessment of renal cancer tumors;2-s2.0-85110516927;10.3390/s21144928;Article;2021;Renal Tumors;oncology
A comprehensive computer-assisted diagnosis system for early assessment of renal cancer tumors;2-s2.0-85110516927;10.3390/s21144928;Article;2021;renal tumor;oncology
A comprehensive computer-assisted diagnosis system for early assessment of renal cancer tumors;2-s2.0-85110516927;10.3390/s21144928;Article;2021;Renal Tumor;oncology
Nature-Inspired Level Set Segmentation Model for 3D-MRI Brain Tumor Detection;2-s2.0-85103634297;10.32604/cmc.2021.014404;Article;2021;brain tumors;neurosurgery
Nature-Inspired Level Set Segmentation Model for 3D-MRI Brain Tumor Detection;2-s2.0-85103634297;10.32604/cmc.2021.014404;Article;2021;brain tumor;neurosurgery
Automatic heart disease class detection using convolutional neural network architecture-based various optimizers-networks;2-s2.0-85107454538;10.1049/smc2.12003;Article;2021;heart disease;cardiology
Machine Learning for Ischemic Heart Disease Diagnosis Aided by Evolutionary Computing;2-s2.0-85120450423;10.1155/2021/6718029;Article;2021;heart disease;cardiology
Machine Learning for Ischemic Heart Disease Diagnosis Aided by Evolutionary Computing;2-s2.0-85120450423;10.1155/2021/6718029;Article;2021;ischemic heart disease;cardiology
Pancreatic Cancer Survival Prediction: A Survey of the State-of-the-Art;2-s2.0-85117300086;10.1155/2021/1188414;Review;2021;adenocarcinoma;oncology
Pancreatic Cancer Survival Prediction: A Survey of the State-of-the-Art;2-s2.0-85117300086;10.1155/2021/1188414;Review;2021;carcinoma;oncology
Pancreatic Cancer Survival Prediction: A Survey of the State-of-the-Art;2-s2.0-85117300086;10.1155/2021/1188414;Review;2021;pancreatic ductal adenocarcinoma;oncology
A Novel Machine Learning Model for the Detection of Epilepsy and Epileptic Seizures Using Electroencephalographic Signals Based on Chaos and Fractal Theories;2-s2.0-85113738509;10.1155/2021/2107113;Article;2021;epileptic seizure;epileptology
A Novel Machine Learning Model for the Detection of Epilepsy and Epileptic Seizures Using Electroencephalographic Signals Based on Chaos and Fractal Theories;2-s2.0-85113738509;10.1155/2021/2107113;Article;2021;seizure;epileptology
Data and Machine Learning Fusion Architecture for Cardiovascular Disease Prediction;2-s2.0-85110707849;10.32604/cmc.2021.019013;Article;2021;heart disease;cardiology
Optimal Length of Heart Rate Variability Data and Forecasting Time for Ventricular Fibrillation Prediction Using Machine Learning;2-s2.0-85103624040;10.1155/2021/6663996;Article;2021;ventricular fibrillation;cardiology
Optimal Length of Heart Rate Variability Data and Forecasting Time for Ventricular Fibrillation Prediction Using Machine Learning;2-s2.0-85103624040;10.1155/2021/6663996;Article;2021;Ventricular Fibrillation;cardiology
Optimal Length of Heart Rate Variability Data and Forecasting Time for Ventricular Fibrillation Prediction Using Machine Learning;2-s2.0-85103624040;10.1155/2021/6663996;Article;2021;Arrhythmia;rhythmology
Optimal Length of Heart Rate Variability Data and Forecasting Time for Ventricular Fibrillation Prediction Using Machine Learning;2-s2.0-85103624040;10.1155/2021/6663996;Article;2021;arrhythmia;rhythmology
Classification of ECG heartbeats using deep neural networks;2-s2.0-85115688602;10.1007/s42600-021-00176-x;Article;2021;cardiac arrhythmia;rhythmology
Classification of ECG heartbeats using deep neural networks;2-s2.0-85115688602;10.1007/s42600-021-00176-x;Article;2021;Arrhythmia;rhythmology
Classification of ECG heartbeats using deep neural networks;2-s2.0-85115688602;10.1007/s42600-021-00176-x;Article;2021;arrhythmia;rhythmology
Classification of ECG heartbeats using deep neural networks;2-s2.0-85115688602;10.1007/s42600-021-00176-x;Article;2021;CARDIAC ARRHYTHMIA;rhythmology
Classification of ECG heartbeats using deep neural networks;2-s2.0-85115688602;10.1007/s42600-021-00176-x;Article;2021;atrial premature contraction;electrophysiology
Classification of ECG heartbeats using deep neural networks;2-s2.0-85115688602;10.1007/s42600-021-00176-x;Article;2021;premature ventricular contraction;electrophysiology
Machine learning guided postnatal gestational age assessment using new-born screening metabolomic data in South Asia and sub-Saharan Africa;2-s2.0-85114399035;10.1186/s12884-021-04067-y;Article;2021;preterm birth;pediatrics
Machine learning guided postnatal gestational age assessment using new-born screening metabolomic data in South Asia and sub-Saharan Africa;2-s2.0-85114399035;10.1186/s12884-021-04067-y;Article;2021;pre-term birth;pediatrics
Enhancement of blood pressure estimation method via machine learning;2-s2.0-85107583872;10.1016/j.aej.2021.04.035;Article;2021;hypertension;family medicine
Enhancement of blood pressure estimation method via machine learning;2-s2.0-85107583872;10.1016/j.aej.2021.04.035;Article;2021;high blood pressure;family medicine
An accurate fuzzy rule-based classification systems for heart disease diagnosis;2-s2.0-85122793654;10.1016/j.sciaf.2021.e01019;Article;2021;heart disease;cardiology
From genetics to systems biology of stress-related mental disorders;2-s2.0-85122782043;10.1016/j.ynstr.2021.100393;Article;2021;stress-related disorders;psychiatry
Exploratory data mining techniques (decision tree models) for examining the impact of internet-based cognitive behavioral therapy for tinnitus: Machine learning approach;2-s2.0-85118997219;10.2196/e28999;Article;2021;insomnia;neurology
Machine Assist for Pediatric Posterior Fossa Tumor Diagnosis: A Multinational Study;2-s2.0-85118598361;10.1093/neuros/nyab311;Article;2021;ependymoma;oncology
Classification of breast cancer types, sub-types and grade from histopathological images using deep learning technique;2-s2.0-85114998703;10.1007/s12553-021-00592-0;Article;2021;carcinoma;oncology
Accurate Machine-Learning-Based classification of Leukemia from Blood Smear Images;2-s2.0-85114312472;10.1016/j.clml.2021.06.025;Article;2021;lymphoblastic leukemia;oncology
Evolutionary algorithm-based convolutional neural network for predicting heart diseases;2-s2.0-85114161023;10.1016/j.cie.2021.107651;Article;2021;heart diseases;cardiology
Evolutionary algorithm-based convolutional neural network for predicting heart diseases;2-s2.0-85114161023;10.1016/j.cie.2021.107651;Article;2021;heart disease;cardiology
Artificial intelligence and computer-aided diagnosis for colonoscopy: Where do we stand now?;2-s2.0-85118265099;10.21037/tgh.2019.12.14;Review;2021;colorectal polyp;gastroenterology
Machine learning for evolutive lymphoma and residual masses recognition in whole body diffusion weighted magnetic resonance images;2-s2.0-85112360158;10.1016/j.cmpb.2021.106320;Article;2021;malignant lymphoma;oncology
Deep learning-based studies on pediatric brain tumors imaging: Narrative review of techniques and challenges;2-s2.0-85107381663;10.3390/brainsci11060716;Review;2021;brain tumors;neurosurgery
Deep learning-based studies on pediatric brain tumors imaging: Narrative review of techniques and challenges;2-s2.0-85107381663;10.3390/brainsci11060716;Review;2021;brain tumor;neurosurgery
A cad system for accurate diagnosis of bladder cancer staging using a multiparametric MRI;2-s2.0-85107177843;10.1109/ISBI48211.2021.9434097;Conference Paper;2021;carcinoma;oncology
Epileptic Seizure Motion Classification based on sEMG and Artificial Neural Network;2-s2.0-85126854665;10.1109/IWIS54661.2021.9711793;Conference Paper;2021;epileptic seizure;epileptology
Epileptic Seizure Motion Classification based on sEMG and Artificial Neural Network;2-s2.0-85126854665;10.1109/IWIS54661.2021.9711793;Conference Paper;2021;seizure;epileptology
Detection of retinal abnormalities in fundus image using CNN deep learning networks;2-s2.0-85126736813;10.1016/B978-0-12-819740-0.00002-4;Book Chapter;2021;age-related macular degeneration;ophthalmology
Detection of retinal abnormalities in fundus image using CNN deep learning networks;2-s2.0-85126736813;10.1016/B978-0-12-819740-0.00002-4;Book Chapter;2021;macular degeneration;ophthalmology
Machine Learning Augmented Breast Tumors Classification using Magnetic Resonance Imaging Histograms;2-s2.0-85125420057;10.14569/IJACSA.2021.0121201;Article;2021;breast tumor;dermatology
Heart Disease Prediction using Machine Learning Techniques;2-s2.0-85124651655;10.1109/ICDABI53623.2021.9655783;Conference Paper;2021;heart diseases;cardiology
Heart Disease Prediction using Machine Learning Techniques;2-s2.0-85124651655;10.1109/ICDABI53623.2021.9655783;Conference Paper;2021;heart disease;cardiology
Diabetes Prediction Using Machine Learning: A Comparative Study;2-s2.0-85123179775;10.1109/NILES53778.2021.9600091;Conference Paper;2021;metabolic disease;endocrinology
Keratoconus Severity Classification Using Features Selection and Machine Learning Algorithms;2-s2.0-85120803849;10.1155/2021/9979560;Article;2021;keratoconus;optometry
Real-time arrhythmia heart disease detection system using CNN architecture based various optimizers-networks;2-s2.0-85114903760;10.1007/s11042-021-11268-2;Article;2021;cardiac disease;cardiology
Real-time arrhythmia heart disease detection system using CNN architecture based various optimizers-networks;2-s2.0-85114903760;10.1007/s11042-021-11268-2;Article;2021;heart arrhythmia;rhythmology
Real-time arrhythmia heart disease detection system using CNN architecture based various optimizers-networks;2-s2.0-85114903760;10.1007/s11042-021-11268-2;Article;2021;Arrhythmia;rhythmology
Real-time arrhythmia heart disease detection system using CNN architecture based various optimizers-networks;2-s2.0-85114903760;10.1007/s11042-021-11268-2;Article;2021;arrhythmia;rhythmology
Real-time arrhythmia heart disease detection system using CNN architecture based various optimizers-networks;2-s2.0-85114903760;10.1007/s11042-021-11268-2;Article;2021;heart disease;cardiology
Optimisation of Composite Briquette Made From Sawdust / Rice Husk Using Starch and Clay Binder;2-s2.0-85107729058;10.30880/ijie.2021.13.04.019;Article;2021;spasticity;neurology
A Superpixel-Wise Fully Convolutional Neural Network Approach for Diabetic Foot Ulcer Tissue Classification;2-s2.0-85104319514;10.1007/978-3-030-68763-2_23;Conference Paper;2021;diabetic foot;dermatology
Deep Convolutional Neural Networks for ECG Heartbeat Classification Using Two-Stage Hierarchical Method;2-s2.0-85092081271;10.1007/978-3-030-58669-0_12;Conference Paper;2021;Arrhythmia;rhythmology
Deep Convolutional Neural Networks for ECG Heartbeat Classification Using Two-Stage Hierarchical Method;2-s2.0-85092081271;10.1007/978-3-030-58669-0_12;Conference Paper;2021;arrhythmia;rhythmology
Direct pixel to pixel principal strain mapping from tagging MRI using end to end deep convolutional neural network (DeepStrain);2-s2.0-85120005320;10.1038/s41598-021-02279-y;Article;2021;hypertension;family medicine
Machine learning-based identification of patients with a cardiovascular defect;2-s2.0-85117379933;10.1186/s40537-021-00524-9;Article;2021;heart diseases;cardiology
Machine learning-based identification of patients with a cardiovascular defect;2-s2.0-85117379933;10.1186/s40537-021-00524-9;Article;2021;heart disease;cardiology
Identifying regions of interest in whole slide images of renal cell carcinoma;2-s2.0-85116218847;10.1007/s42600-021-00178-9;Article;2021;carcinoma;oncology
Predicting mortality among septic patients presenting to the emergency departmentâ€“a cross sectional analysis using machine learning;2-s2.0-85109974564;10.1186/s12873-021-00475-7;Article;2021;sepsis;infectious diseases
Use of Machine Learning and Statistical Algorithms to Predict Hospital Length of Stay Following Colorectal Cancer Resection: A South African Pilot Study;2-s2.0-85117169525;10.3389/fonc.2021.644045;Article;2021;hypertension;family medicine
Cardiovascular disease recognition based on heartbeat segmentation and selection process;2-s2.0-85117127358;10.3390/ijerph182010952;Article;2021;heart diseases;cardiology
Cardiovascular disease recognition based on heartbeat segmentation and selection process;2-s2.0-85117127358;10.3390/ijerph182010952;Article;2021;heart disease;cardiology
Glioma-Targeted Therapeutics: Computer-Aided Drug Design Prospective;2-s2.0-85116049498;10.1007/s10930-021-10021-w;Review;2021;brain tumors;neurosurgery
Glioma-Targeted Therapeutics: Computer-Aided Drug Design Prospective;2-s2.0-85116049498;10.1007/s10930-021-10021-w;Review;2021;brain tumor;neurosurgery
Glioma-Targeted Therapeutics: Computer-Aided Drug Design Prospective;2-s2.0-85116049498;10.1007/s10930-021-10021-w;Review;2021;brain cancer;oncology
Rheumatic heart disease screening based on phonocardiogram;2-s2.0-85116025553;10.3390/s21196558;Article;2021;heart disease;cardiology
Simplified models to assess newborn gestational age in low-middle income countries: Findings from a multicountry, prospective cohort study;2-s2.0-85115090202;10.1136/bmjgh-2021-005688;Article;2021;preterm birth;pediatrics
The forgotten oral microbial transplantation for improving the outcomes of COVID-19;2-s2.0-85122654889;10.1016/j.nmni.2021.100923;Review;2021;hypertension;family medicine
Current and future clinical research in Sudan: An opportunity for everyone to choose research in medical education, communicable and non-communicable diseases;2-s2.0-85115342308;10.21037/JPHE-21-31;Review;2021;hypertension;family medicine
Deep learning guided by an ontology for medical images classification using a multimodal fusion;2-s2.0-85112350070;10.1109/ICOTEN52080.2021.9493469;Conference Paper;2021;brain tumor;neurosurgery
Deep learning guided by an ontology for medical images classification using a multimodal fusion;2-s2.0-85112350070;10.1109/ICOTEN52080.2021.9493469;Conference Paper;2021;Pituitary Tumor;oncology
Validation of a machine learning approach using FIB-4 and APRI scores assessed by the metavir scoring system: A cohort study;2-s2.0-85105591754;10.1016/j.ajg.2021.04.003;Article;2021;chronic hepatitis;infectious diseases
Hybrid WCAâ€“SCA and modified FRFCM technique for enhancement and segmentation of brain tumor from magnetic resonance images;2-s2.0-85102086719;10.4015/S1016237221500174;Article;2021;brain tumor;neurosurgery
Enhanced Hoeffding Anytime Tree: A Real-Time Algorithm for Early Prediction of Heart Disease;2-s2.0-85107008798;10.1142/S021821302150010X;Article;2021;heart disease;cardiology
Energy and sparse coding coefficients as sufficient measures for VEBs classification;2-s2.0-85101527688;10.1016/j.bspc.2021.102493;Article;2021;Arrhythmia;rhythmology
Energy and sparse coding coefficients as sufficient measures for VEBs classification;2-s2.0-85101527688;10.1016/j.bspc.2021.102493;Article;2021;arrhythmia;rhythmology
A new computer-aided diagnostic (CAD) system for precise identification of renal tumors;2-s2.0-85107176797;10.1109/ISBI48211.2021.9433865;Conference Paper;2021;carcinoma;oncology
A new computer-aided diagnostic (CAD) system for precise identification of renal tumors;2-s2.0-85107176797;10.1109/ISBI48211.2021.9433865;Conference Paper;2021;Renal Tumors;oncology
A new computer-aided diagnostic (CAD) system for precise identification of renal tumors;2-s2.0-85107176797;10.1109/ISBI48211.2021.9433865;Conference Paper;2021;renal tumor;oncology
A new computer-aided diagnostic (CAD) system for precise identification of renal tumors;2-s2.0-85107176797;10.1109/ISBI48211.2021.9433865;Conference Paper;2021;Renal Tumor;oncology
Detection of voice impairment for parkinson's disease using machine learning tools;2-s2.0-85112602014;10.1109/ISIVC49222.2021.9487544;Conference Paper;2021;nervous system disorder;neurology
Herniated lumbar disc generation and classification using cycle generative adversarial networks on axial view mri;2-s2.0-85104380792;10.3390/electronics10080982;Article;2021;disc herniation;neurosurgery
Monitoring information-seeking patterns and obesity prevalence in africa with internet search data: Observational study;2-s2.0-85105102600;10.2196/24348;Article;2021;hypertension;family medicine
Boosting CNN Learning by Ensemble Image Preprocessing Methods for Cervical Cancer Segmentation;2-s2.0-85107471491;10.1109/SSD52085.2021.9429422;Conference Paper;2021;Cervical Tumor;oncology
Design of an IoT-based Body Mass Index (BMI) Prediction Model;2-s2.0-85126683291;10.1109/ISRITI54043.2021.9702866;Conference Paper;2021;high blood pressure;family medicine
High-resolution MRI brain inpainting;2-s2.0-85125459299;10.1109/BHI50953.2021.9508561;Conference Paper;2021;brain tumors;neurosurgery
High-resolution MRI brain inpainting;2-s2.0-85125459299;10.1109/BHI50953.2021.9508561;Conference Paper;2021;brain tumor;neurosurgery
A novel epileptic seizure detection system using scalp EEG signals based on hybrid CNN-SVM classifier;2-s2.0-85124655396;10.1109/ISIEA51897.2021.9510002;Conference Paper;2021;neurological disorder;neurology
A novel epileptic seizure detection system using scalp EEG signals based on hybrid CNN-SVM classifier;2-s2.0-85124655396;10.1109/ISIEA51897.2021.9510002;Conference Paper;2021;epileptic seizure;epileptology
A novel epileptic seizure detection system using scalp EEG signals based on hybrid CNN-SVM classifier;2-s2.0-85124655396;10.1109/ISIEA51897.2021.9510002;Conference Paper;2021;seizure;epileptology
Diabetes mellitus early stage risk prediction using machine learning algorithms;2-s2.0-85124016109;10.1109/ICNAS53565.2021.9628955;Conference Paper;2021;heart disease;cardiology
Detection of precancerous laryngeal leukoplakia using sub-band based cepstral;2-s2.0-85123997252;10.1109/ICNAS53565.2021.9628992;Conference Paper;2021;leukoplakia;oral medicine
Detection of precancerous laryngeal leukoplakia using sub-band based cepstral;2-s2.0-85123997252;10.1109/ICNAS53565.2021.9628992;Conference Paper;2021;keratosis;medical genetics
Edge AI-based Respiratory Disease Recognition from Exhaled Breath Signatures;2-s2.0-85123757733;10.1109/JEEIT53412.2021.9634140;Conference Paper;2021;Chronic Obstructive Pulmonary Disease (COPD);pulmonology
Edge AI-based Respiratory Disease Recognition from Exhaled Breath Signatures;2-s2.0-85123757733;10.1109/JEEIT53412.2021.9634140;Conference Paper;2021;chronic obstructive pulmonary disease;pulmonology
EEG signal analysis using deep learning: A systematic literature review;2-s2.0-85123480267;10.1109/ICDS53782.2021.9626707;Conference Paper;2021;neurological disorder;neurology
Brain Tumor Segmentation using Community Detection Algorithm;2-s2.0-85123379346;10.1109/CW52790.2021.00016;Conference Paper;2021;brain tumor;neurosurgery
Predicting Sepsis in the Intensive Care Unit (ICU) through Vital Signs using Support Vector Machine (SVM);2-s2.0-85122232092;10.2174/18750362021140100108;Article;2021;sepsis;infectious diseases
Multi-Tier Ensemble Learning Model with Neighborhood Component Analysis to Predict Health Diseases;2-s2.0-85117517882;10.1109/ACCESS.2021.3117963;Article;2021;carcinoma;oncology
Distributionally Robust Segmentation ofÂ Abnormal Fetal Brain 3D MRI;2-s2.0-85117074289;10.1007/978-3-030-87735-4_25;Conference Paper;2021;Open Spina Bifida;neurology
A transfer learning-enabled optimized extreme deep learning paradigm for diagnosis of COVID-19;2-s2.0-85114557905;10.32604/cmc.2022.019809;Article;2021;respiratory infection;infectious diseases
A transfer learning-enabled optimized extreme deep learning paradigm for diagnosis of COVID-19;2-s2.0-85114557905;10.32604/cmc.2022.019809;Article;2021;respiratory infections;infectious diseases
A new smart healthcare framework for real-time heart disease detection based on deep and machine learning;2-s2.0-85112838561;10.7717/PEERJ-CS.646;Article;2021;heart diseases;cardiology
A new smart healthcare framework for real-time heart disease detection based on deep and machine learning;2-s2.0-85112838561;10.7717/PEERJ-CS.646;Article;2021;heart disease;cardiology
Machine learning applied to problem-solving inmedical applications;2-s2.0-85110426213;10.32604/cmc.2021.018000;Article;2021;heart disease;cardiology
Efficient Embedding Network for 3D Brain Tumor Segmentation;2-s2.0-85107387134;10.1007/978-3-030-72084-1_23;Conference Paper;2021;brain tumors;neurosurgery
Efficient Embedding Network for 3D Brain Tumor Segmentation;2-s2.0-85107387134;10.1007/978-3-030-72084-1_23;Conference Paper;2021;brain tumor;neurosurgery
Big Health Data: Cardiovascular Disease Prevention Using Big Data and Machine Learning;2-s2.0-85107358485;10.1007/978-3-030-72065-0_17;Book Chapter;2021;heart diseases;cardiology
Big Health Data: Cardiovascular Disease Prevention Using Big Data and Machine Learning;2-s2.0-85107358485;10.1007/978-3-030-72065-0_17;Book Chapter;2021;heart disease;cardiology
Classification of Brain Tumor MRIs Using Deep Learning and Data Augmentation;2-s2.0-85105908879;10.1007/978-981-33-4299-6_6;Conference Paper;2021;brain tumor;neurosurgery
Classification of Brain Tumor MRIs Using Deep Learning and Data Augmentation;2-s2.0-85105908879;10.1007/978-981-33-4299-6_6;Conference Paper;2021;Pituitary Tumor;oncology
A Proposal of Clinical Decision Support System Using Ensemble Learning for Coronary Artery Disease Diagnosis;2-s2.0-85104404205;10.1007/978-3-030-70569-5_19;Conference Paper;2021;Acute Coronary Syndrome;cardiology
A Proposal of Clinical Decision Support System Using Ensemble Learning for Coronary Artery Disease Diagnosis;2-s2.0-85104404205;10.1007/978-3-030-70569-5_19;Conference Paper;2021;Acute Coronary Syndromes;cardiology
A Proposal of Clinical Decision Support System Using Ensemble Learning for Coronary Artery Disease Diagnosis;2-s2.0-85104404205;10.1007/978-3-030-70569-5_19;Conference Paper;2021;acute coronary syndrome;cardiology
A Proposal of Clinical Decision Support System Using Ensemble Learning for Coronary Artery Disease Diagnosis;2-s2.0-85104404205;10.1007/978-3-030-70569-5_19;Conference Paper;2021;heart disease;cardiology
